id,category,fit_score,skill_30,transition_20,compensation_15,access_15,lifestyle_10,upside_10,priority,verification,company,title,location,work_model,hiring_access,salary_status,compensation,link_quality,application_url,source_age_note,why_fit,key_gaps
C011,ADJACENT,80,25,17,10,15,7,6,B,TOOL_SNAPSHOT,Milli Aviasiya Akademiyası,Data analitika üzrə mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://hrx.az/is-elanlari/data-ve-analitika/data-analitik/data-analitika-uzre-mutexessis-milli-aviasiya-akademiyasi-2ccbaa,"published 2026-08-06; snapshot deadline 2026-08-29","Large-data cleaning reporting dashboards automation proposals analytical support cross-functional data collection","Formal data analyst title; advanced BI/statistical tooling may be expected"
C012,ADJACENT,81,27,18,10,15,4,7,B,TOOL_SNAPSHOT,Hikvision CO MMC,Satınalma və təchizat üzrə mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,"Interview-based",EXACT,https://az.linkedin.com/company/hikvision-co-az,"company post indexed ~3 weeks ago; browser/company-page check required","Procurement requests supplier management payments reporting logistics and Excel fit strongly with P2P/vendor work","Direct sourcing/negotiation and logistics ownership; alternating Saturday reduces lifestyle score"
C013,ADJACENT,78,23,14,11,15,7,8,B,TOOL_SNAPSHOT,Yelo Bank,Data analitik - kreditlərin monitorinqi şöbəsi,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://www.yelo.az/en/about-bank/vacancies/?vacancy=yelo-data-analitik-kreditlerin-monitorinqi-sobesi-90831018,"published last week; tool deadline 2026-08-23","Data cleaning quality process optimization automation reporting and business-process knowledge fit","SQL Power BI Python/R are meaningful gaps"
C014,ADJACENT,79,23,15,11,15,7,8,B,TOOL_SNAPSHOT,Yelo Bank,Data analitik (Biznes) / Mütəxəssis / Aparıcı mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://www.yelo.az/az/about-bank/career/work-at-yelobank/,"current employer index lists role; exact indexed detail may be old","Business analysis KPI/ROI reporting data-driven decisions and cross-functional coordination","SQL/BI/marketing analytics depth; exact current detail page to locate"
C015,ADJACENT,82,26,17,11,15,6,7,B,TOOL_SNAPSHOT,Yelo Bank,Data Governance üzrə Mütəxəssis (Data Steward),Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://www.yelo.az/az/about-bank/career/work-at-yelobank/,"current employer index lists role; exact old detail conflicts","Master-data quality governance requirements processes documentation and system improvement map strongly to MDG","SQL/Tableau/governance-tool expectations; exact current detail page to locate"
C016,ADJACENT,79,23,15,11,15,7,8,B,USER_BROWSER_LIVE,Unibank,Maliyyə Effektivliyi Şöbəsinin Aparıcı / Baş Mütəxəssisi,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://unibank.az/az/hrsnew/vacanciesHrm/232?sector=29,"browser-confirmed by user 2026-08-20","Large-data analysis Excel reconciliations cost/control mindset process improvement","Budgeting forecasting ABC/cost allocation depth"
C017,STRETCH,74,20,11,15,15,5,8,C,USER_BROWSER_LIVE,Xsolla,"Delivery Manager, Self-Service","CIS / Baku / Armenia / Almaty / Cyprus / Georgia / Poland / Serbia",Remote,REMOTE_AZ_EXPLICIT,PUBLISHED,"USD 30,000-80,000/year",EXACT,https://jobs.lever.co/xsolla/fd4791bd-88ba-47fc-9542-f556298e7e31,"browser-confirmed by user 2026-08-20","Process ownership cross-functional coordination escalations documentation metrics automation mindset","3+ years formal tech delivery; Jira/Confluence; fluent English"
C018,STRETCH,71,18,12,10,15,6,10,C,USER_BROWSER_LIVE,Bolt,Operations Manager,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://bolt.eu/en/careers/positions/ce0c7cb3-b4f0-495f-9fed-1daade980a06/,"browser-confirmed by user 2026-08-20","KPI/data analysis operational ownership stakeholders escalations and Excel transfer","Direct operations/program leadership and fluent English"
C019,STRETCH,72,21,11,11,15,5,9,C,TOOL_SNAPSHOT,Baku Steel Company,Procurement and Logistics Department Manager,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,"Interview-based",EXACT,https://jobsite.az/vakansiya-is-elani/procurement-and-logistics-department-manager-24718,"published last week; tool deadline 2026-08-25","Vendor/P2P supplier relationships procurement controls logistics coordination and management upside","Department-head leadership; strategic sourcing and logistics ownership are large gaps"
C020,STRETCH,73,22,14,10,15,5,7,C,TOOL_SNAPSHOT,Weatherford,Inventory Coordinator,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/inventory-coordinator-at-weatherford-4417072239,"tool snapshot; browser check required","Inventory reconciliations discrepancies transaction accuracy Excel/Power BI forecasting and controls","3+ years direct inventory and warehouse/material-flow knowledge"
C021,STRETCH,72,22,15,8,15,7,5,C,TOOL_SNAPSHOT,Xsolla,"Junior Delivery Manager, Self-Service",CIS/Baku eligible,Remote,REMOTE_AZ_EXPLICIT,UNKNOWN,Unknown,EXACT,https://jobs.lever.co/xsolla/e83f9ad1-1e97-4363-82e5-1df4a71ffa93,"tool snapshot; browser check required","Project tracking coordination process ownership and documentation are transferable","Entry-level 3-month fixed-term start; salary may miss target"
C022,STRETCH,70,20,14,9,15,7,5,C,TOOL_SNAPSHOT,Xsolla,Office Manager,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://jobs.lever.co/xsolla/caed2c1f-36a7-48b1-94ef-e4e0792ce86e,"tool snapshot; browser check required","Vendor coordination procurement inventory administration process ownership and stakeholder work","Facilities/office-admin background weaker; salary upside uncertain"
C023,ADJACENT,72,21,16,10,15,6,4,C,TOOL_SNAPSHOT,Bank VTB Azerbaijan,Korporativ müştərilərlə iş şöbəsinin kiçik mütəxəssisi/mütəxəssisi,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,"Agreement-based",LIST,https://jobs.glorri.az/companies/vtb,"employer/job-board index crawled last week","B2B customer operations stakeholder handling documentation product/process discipline and finance background","Sales/client acquisition emphasis and unknown compensation"
C024,ADJACENT,77,22,14,10,15,7,9,B,TOOL_SNAPSHOT,Expressbank,Data analitika üzrə mütəxəssis/aparıcı mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://www.expressbank.az/az/page/karyera,"employer career index crawled ~3 weeks ago","Reporting analysis Excel data quality process automation and banking/finance context","SQL/BI depth and exact live detail need verification"
C025,STRETCH,74,20,12,11,15,7,9,C,TOOL_SNAPSHOT,İnnovasiya və Rəqəmsal İnkişaf Agentliyi, Baş İT Biznes Analitik - Rəqəmsal məhsulların inkişafı,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.com/companies/idda,"company index crawled within a week","Business requirements process mapping stakeholders documentation testing/change mindset transfer","IT product/business-analysis experience gap"
C026,ADJACENT,83,27,16,10,15,7,8,B,TOOL_SNAPSHOT,İnnovasiya və Rəqəmsal İnkişaf Agentliyi,Data keyfiyyətinin təhlili üzrə baş mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.com/companies/idda,"company index crawled within a week","Data quality controls exception handling standardization governance and process improvement map strongly to MDG/AP controls","Formal data-quality tooling/IT governance depth"
C027,ADJACENT,82,26,16,10,15,7,8,B,TOOL_SNAPSHOT,İnnovasiya və Rəqəmsal İnkişaf Agentliyi,Data idarəçiliyi üzrə baş mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.com/companies/idda,"company index crawled within a week","Data governance ownership standardization controls documentation and cross-functional process work align with MDG","Formal data-governance frameworks and tooling may be required"
C028,ADJACENT,74,21,14,10,15,6,8,C,TOOL_SNAPSHOT,Azərbaycan Dəmir Yolları,Layihə idarəetməsi üzrə aparıcı/böyük mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.com/companies/ady,"company/job-board index surfaced role in August; browser check required","Project coordination deadlines stakeholders reporting process improvement and operational ownership transfer","Formal project-management experience/methodologies likely required"
C029,ADJACENT,78,25,17,10,15,5,6,B,TOOL_SNAPSHOT,OBA Market,Stok dəqiqliyinə nəzarət mütəxəssisi,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.com/?jobFunctions=science-technology-engineering,"job-board index crawled 2 days ago","Reconciliation discrepancy control data accuracy root-cause investigation and process discipline transfer to stock control","Physical inventory/retail operations knowledge; salary unknown"
C030,ADJACENT,82,27,18,10,15,6,6,B,TOOL_SNAPSHOT,OBA Market,Kommunal və ümumi xərclərə nəzarət üzrə mütəxəssisi,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.com/?jobFunctions=science-technology-engineering,"job-board index crawled 2 days ago","Expense control reconciliations invoice/cost checking variance follow-up Excel and process discipline are highly transferable","Retail/utilities domain and exact duties/salary need browser review"
C031,STRETCH,72,20,15,10,15,6,6,C,TOOL_SNAPSHOT,Milli Aviasiya Akademiyası,Layihələr və qrantlar üzrə mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.com/?jobFunctions=finance-business-admin,"job-board index crawled 2 days ago","Project documentation coordination reporting deadlines stakeholders and analytical work transfer","Grant administration and sector-specific requirements unknown"
C032,ADJACENT,74,22,16,10,15,6,4,C,TOOL_SNAPSHOT,Bank VTB Azerbaijan,Satışların inzibatçılığı və şəbəkənin inkişafı şöbəsinin Mütəxəssisi / Aparıcı Mütəxəssisi,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,"Agreement-based",LIST,https://jobs.glorri.az/companies/vtb,"current-looking company index; browser check required","Sales operations administration monthly/quarterly reporting partner coordination rollout monitoring","Direct network-development/sales-ops experience; compensation unknown"
C033,ADJACENT,91,30,18,10,15,8,10,A,TOOL_SNAPSHOT,Holcim Azerbaijan,SAP Master Data Expert,Baku Azerbaijan,On-site/Project,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/sap-master-data-expert-at-holcim-azerbaijan-member-of-holcim-group-4435215467,"new repost indexed 2 weeks ago; distinct from previously closed older posting; browser check required","Near-direct S4/MDG fit: master-data quality, process gap analysis, SOP standardization, key-user enablement, Finance/Procurement/Supply Chain SAP streams","Temporary/project nature; role may expect broader SAP functional diagnostic depth"
C034,ADJACENT,87,28,17,10,15,8,9,A,TOOL_SNAPSHOT,Araz Supermarket MMC,SAP Consultant,Baku Azerbaijan,Hybrid,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/sap-consultant-at-araz-supermarket-mmc-4431080879,"indexed as 22 hours old in current search; browser check required","SAP master data, business-process mapping, stakeholder requirements, data governance and MM/FI exposure align strongly with S4/MDG finance-process experience","Formal SAP consulting and end-to-end implementation/support ownership are gaps"
C035,CORE,88,29,18,10,15,7,9,A,TOOL_SNAPSHOT,Deloitte,Consultant - Business Process Solutions,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/consultant-business-process-solutions-at-deloitte-4431088744,"indexed 3 weeks ago with Apply; browser check required","Direct payables/receivables, payments, bookkeeping, client accounting, reporting and process-services overlap with AP/finance operations","Broader local accounting/tax/statutory service scope and consulting/client-service pace"
C036,CORE,85,28,17,10,15,7,8,A,TOOL_SNAPSHOT,Sigma Technical Services LLC,Senior Accountant,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/senior-accountant-at-sigma-technical-services-llc-4434819774,"indexed as 1 day old with 26 applicants; browser check required","AP/AR, bank/intercompany reconciliations, month-end, audit, ERP, Excel, controls and process improvement are highly transferable","Full GL, local tax, financial statements, budgeting/forecasting and senior-accountant title depth"
C037,CORE,80,25,13,11,15,6,10,B,TOOL_SNAPSHOT,Weatherford,Senior Accountant,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/senior-accountant-at-weatherford-4423533011,"current search index surfaces role; crawled 3 weeks ago; browser check required","Bank reconciliations, payments, GL close, invoice accruals, Excel and multinational controls overlap with current finance experience","Heavy Azerbaijan tax/statutory reporting, 1C and compulsory professional accounting certificate are significant gaps"
C038,STRETCH,76,22,12,11,15,6,10,B,TOOL_SNAPSHOT,TRIBU Search,Group Financial Controller,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/group-financial-controller-at-tribu-search-4437071284,"indexed as 22 hours old; browser check required","International finance governance, reporting, systems/process scaling, controls and cross-functional finance exposure fit the upper edge of experience","Group-controller leadership, consolidated reporting, strategic finance and likely team-management depth are major gaps"
C039,ADJACENT,78,24,18,9,15,7,5,B,TOOL_SNAPSHOT,Life at Bir,Junior Business Analyst - Financial & Strategic,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/junior-business-analyst-financial-strategic-bir-ecosystem-at-life-at-bir-4435237868,"indexed 2 weeks ago; role shown as 3 weeks old; browser check required","Excel, financial analysis, KPI tracking, reporting, research and cross-functional coordination transfer well; Russian requirement fits","Junior compensation may miss target; product analytics and financial-modeling depth need strengthening"
C040,STRETCH,73,20,14,10,15,7,7,C,TOOL_SNAPSHOT,Deloitte,Business Analyst - Sustainability,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/business-analyst-sustainability-at-deloitte-4435942736,"indexed 1 week old in current results; browser check required","Analytical reporting, data collection, documentation, research, stakeholder work and controls mindset transfer","Sustainability frameworks/assurance knowledge is new; heavy competition and consulting pace"
C041,ADJACENT,91,29,18,11,15,8,10,A,TOOL_SNAPSHOT,Novum LLC,ERP Functional Consultant - Finance (Microsoft Dynamics 365 F&O),Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/enterprise-resources-planning-functional-consultant-at-novum-llc-4382025377,"current search returned exact role; crawl last month; browser check required","Finance-to-ERP transition is unusually direct: P2P O2C GL AP AR Banking VAT plus requirements, master-data migration, UAT, documentation and Excel all map strongly to current experience","Hands-on D365 configuration and formal implementation-consulting experience are the main gaps"
C042,CORE,89,28,17,11,15,8,10,A,TOOL_SNAPSHOT,bp,Reporting Analyst,Baku Azerbaijan,Hybrid,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/reporting-analyst-at-bp-4440494176,"distinct new job ID surfaced as ~1 day old; older bp Reporting Analyst in rejected history had different/expired requisition; browser check required","Reconciliations month-end reporting audits controls budgeting/cash-call style reporting and process improvement align strongly with finance operations background","PSA/JIB/statutory-tax reporting and full reporting-team scope are broader than AP; competition likely high"
C043,CORE,90,29,18,11,15,8,9,A,TOOL_SNAPSHOT,bp,Finance Control Analyst,Baku Azerbaijan,Hybrid,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/finance-control-analyst-at-bp-4436653692,"new distinct job ID indexed about 1 week old; prior rejected bp control lead referred to older non-live route; browser check required","Balance-sheet reconciliations financial reporting audit support internal control compliance analytics and process improvement are extremely close to current strengths","IFRS/PSA/statutory reporting depth and fluent-English competition are the main gaps"
C044,ADJACENT,82,23,15,11,15,8,10,B,TOOL_SNAPSHOT,Baku Steel Company,Aparıcı Mütəxəssis – Maliyyə Planlama və Büdcə,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,"Interview-based",EXACT,https://jobsite.az/vakansiya-is-elani/aparici-mutexessis-maliyye-planlama-ve-budce-24717,"published 2026-08-06; tool deadline 2026-08-25; browser check required","Excel/SAP finance data, variance analysis, cross-functional coordination and reporting transfer well into FP&A/budget control","Direct budgeting forecasting P&L balance-sheet and cash-flow planning experience is lighter"
C045,ADJACENT,83,24,15,11,15,8,10,B,TOOL_SNAPSHOT,Baku Steel Company,Maliyyə departamentində Baş mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://hrx.az/is-elanlari/maliyye-ve-banklar/muhasib/maliyye-departamentinde-bas-mutexessis-baku-steel-company-cjsc-7c3c68,"published 2026-07-26; HRX snapshot deadline 2026-08-24; browser check required","Reconciliations audits SAP FI/CO preference Excel reporting cost analysis and process controls overlap with experience","IFRS financial statements consolidation Power BI and full-finance ownership are significant expansion areas"
C046,ADJACENT,85,28,17,11,15,6,8,A,TOOL_SNAPSHOT,Airswift,Procurement and Supply Chain Performance Specialist,Baku Azerbaijan,On-site contract,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/procurement-and-supply-chain-psc-performance-specialist-duration-is-6-months-at-airswift-4157288181,"tool snapshot; 6-month assignment; browser check required","Procurement analytics supplier/vendor data quality finance liaison SAP advanced Excel reporting and process improvement match P2P/vendor strengths very closely","Role asks 10 years procurement/supply-chain or finance, fluent English and direct PSC performance ownership; fixed 6-month duration"
C047,CORE,89,29,19,10,15,8,8,A,TOOL_SNAPSHOT,DP World,Treasury Accountant,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/treasury-accountant-at-dp-world-4413955585,"current Azerbaijan accounting index shows role actively hiring/recent; exact page crawl last month; browser check required","Payment orders bank allocations bank reconciliations supplier reconciliations invoices month-close audits variance analysis and cash-flow work map almost directly to AP/finance operations","Accrual/provision ownership and broader treasury/customer receipts are additions; salary unknown"
C048,ADJACENT,84,26,17,10,15,8,8,B,TOOL_SNAPSHOT,Holcim,Commercial Support Specialist (RMX) 1,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/commercial-support-specialist-rmx-1-at-holcim-4432198193,"current indexes show actively hiring/recent; exact page crawl last month; browser check required","SAP/CRM reporting dashboards contracts document control Finance/Logistics coordination forecasting and data maintenance fit strong process/data/stakeholder strengths","Sales/commercial operations and demand forecasting are new; customer-facing commercial context may require adaptation"
C049,CORE,95,30,20,11,15,9,10,A,TOOL_SNAPSHOT,Baker Hughes,AP Accountant,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/ap-accountant-at-baker-hughes-4439082827,"exact LinkedIn role surfaced as 4 days old; current index shows actively hiring; browser check required","Near-perfect AP fit: weekly payments Azerbaijan/Kazakhstan, payment proposals, vendor queries, bank reconciliations, VAT/WHT/customs payments, internet banking and cash-flow reporting","Potential title/seniority compression versus current experience; salary unknown; exact Baker Hughes employer page should be browser-checked"
C050,ADJACENT,84,26,17,10,15,8,8,B,TOOL_SNAPSHOT,Group of Companies at Baku City Residences,CRM Business Analyst / CRM Administrator,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/customer-relationship-management-administrator-at-group-of-companies-at-baku-city-residences-4435669694,"exact role indexed as 5 days old; browser check required","Requirements gathering vendor coordination workflow improvement data accuracy KPI dashboards documentation user training and system administration transfer strongly from ERP/process work","Direct CRM platform administration/implementation and API/integration experience are new"
C051,ADJACENT,88,29,18,10,15,8,8,A,TOOL_SNAPSHOT,Baku Steel Company,Senior Vendor Management Specialist,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.az/companies/bakusteel,"company vacancy index crawled last week; role posted 2026-08-05; exact detail link not resolved","Vendor governance supplier coordination master-data accuracy issue resolution performance/control mindset and cross-functional procurement-finance work are unusually close to current strengths","Direct strategic vendor-management/sourcing ownership and compensation are unknown"
C052,ADJACENT,80,23,15,11,15,8,9,B,TOOL_SNAPSHOT,Xalq Bank,Maliyyə Menecmenti İdarəsinin Büdcə planlaşdırılması və xərclərə nəzarət şöbəsinin mütəxəssis/aparıcı/böyük/baş mütəxəssisi,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.az/companies/xalqbank,"company vacancy index crawled last week; role posted 2026-07-30; browser check required","Expense control Excel/reporting variance follow-up finance-process discipline and cross-functional coordination provide a realistic bridge into budget control","Direct budgeting forecasting and management-accounting depth are weaker; exact level/salary unknown"
C053,ADJACENT,80,24,16,10,15,7,8,B,TOOL_SNAPSHOT,Xalq Bank,Risklərin İdarə edilməsi İdarəsinin Əməliyyat riski şöbəsinin böyük/baş mütəxəssisi,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.az/companies/xalqbank,"company vacancy index crawled last week; role posted 2026-07-28; browser check required","Operational controls incident/root-cause analysis process monitoring reporting large-data review and remediation mindset transfer from finance operations and audit support","Formal banking operational-risk frameworks/KRIs and risk-governance experience are new"
C054,ADJACENT,84,27,17,10,15,7,8,B,TOOL_SNAPSHOT,PASHA Bank,Maliyyə nəzarəti üzrə mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.az/en/companies/pashabank,"company vacancy index crawled last week; role posted 2026-07-24; browser check required","Financial controls reconciliations data checking reporting exception investigation and process-compliance strengths map strongly","Bank-specific financial-control rules and broader accounting/reporting ownership may be required; salary unknown"
C055,ADJACENT,83,26,17,10,15,7,8,B,TOOL_SNAPSHOT,Unibank,Daxili nəzarət hesabatlığı üzrə Aparıcı mütəxəssis,Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,LIST,https://jobs.glorri.az/companies/unibank,"company vacancy index crawled last week; role posted 2026-07-28; browser check required","Internal-control reporting reconciliations exception analysis audit support documentation data quality and process improvement align closely","Formal banking internal-control/regulatory reporting experience may be required; salary unknown"
C056,STRETCH,72,20,12,11,15,6,8,C,TOOL_SNAPSHOT,Wolt,"Account Management Lead, Azerbaijan",Baku Azerbaijan,On-site,LOCAL_AZ,UNKNOWN,Unknown,EXACT,https://az.linkedin.com/jobs/view/account-management-lead-azerbaijan-at-wolt-4435059190,"exact role indexed as about 2 weeks old; browser check required","KPI ownership data-driven partner performance cross-functional coordination escalation and operational problem-solving transfer","Commercial account-growth ownership, partner P&L and fluent English are substantial gaps; fast-paced workload"
